braker_gene	braker_transcript	SSTP_gene	SSTP_transcript
g3222	g3222.t1	SSTP_0001135000	SSTP_0001135000.1
g3223	g3223.t1	SSTP_0001135100	SSTP_0001135100.1
g3224	g3224.t1	SSTP_0001135200	SSTP_0001135200.1
g3225	g3225.t1	SSTP_0001135300	SSTP_0001135300.1
g3226	g3226.t1	SSTP_0001135500	SSTP_0001135500.1
g3227	g3227.t1	SSTP_0001135600	SSTP_0001135600.1
g3228	g3228.t1	SSTP_0001135700	SSTP_0001135700.1
g3229	g3229.t1	SSTP_0001135800	SSTP_0001135800.1
g323	g323.t1		
g3230	g3230.t1	SSTP_0001135900	SSTP_0001135900.1
g3231	g3231.t1	SSTP_0001136000	SSTP_0001136000.1
g3232	g3232.t1	SSTP_0001136100	SSTP_0001136100.1
g3233	g3233.t1	SSTP_0001136200	SSTP_0001136200.1
g3234	g3234.t1	SSTP_0001136300	SSTP_0001136300.1
g3235	g3235.t1	SSTP_0001136400	SSTP_0001136400.1
g3236	g3236.t1	SSTP_0001136500	SSTP_0001136500.1
g3237	g3237.t1	SSTP_0001136600	SSTP_0001136600.1
g3238	g3238.t1	SSTP_0001136700	SSTP_0001136700.1
g3239	g3239.t1	SSTP_0001136800	SSTP_0001136800.1
g324	g324.t1	SSTP_0000988500	SSTP_0000988500.1
g3240	g3240.t1	SSTP_0001136900	SSTP_0001136900.1
g3241	g3241.t1	SSTP_0001137000	SSTP_0001137000.1
g3242	g3242.t1	SSTP_0001137100	SSTP_0001137100.1
g3243	g3243.t1	SSTP_0001137200	SSTP_0001137200.1
g3244	g3244.t1	SSTP_0001137300	SSTP_0001137300.1
g3245	g3245.t1	SSTP_0001137400	SSTP_0001137400.1
g3246	g3246.t1	SSTP_0001137500	SSTP_0001137500.1
g3247	g3247.t1	SSTP_0001137700	SSTP_0001137700.1
g3248	g3248.t1	SSTP_0001137800	SSTP_0001137800.1
g3249	g3249.t1	SSTP_0001137900	SSTP_0001137900.1
g3249	g3249.t2	SSTP_0001137900	SSTP_0001137900.1
g325	g325.t1	SSTP_0000988400	SSTP_0000988400.1
g3250	g3250.t1	SSTP_0001138000	SSTP_0001138000.1
g3251	g3251.t1	SSTP_0001138100	SSTP_0001138100.1
g3252	g3252.t1	SSTP_0001138200	SSTP_0001138200.1
g3253	g3253.t1	SSTP_0001138300	SSTP_0001138300.1
g3254	g3254.t1	SSTP_0001138400	SSTP_0001138400.1
g3255	g3255.t1	SSTP_0001138500	SSTP_0001138500.1
g3256	g3256.t1		
g3257	g3257.t1	SSTP_0001138700	SSTP_0001138700.1
g3258	g3258.t1	SSTP_0001138800	SSTP_0001138800.1
g3259	g3259.t1	SSTP_0001138900	SSTP_0001138900.1
g3259	g3259.t2	SSTP_0001138900	SSTP_0001138900.1
g326	g326.t1	SSTP_0000988300	SSTP_0000988300.1
g3260	g3260.t1	SSTP_0001139000	SSTP_0001139000.1
g3261	g3261.t1	SSTP_0001139100	SSTP_0001139100.1
g3262	g3262.t1	SSTP_0001139200	SSTP_0001139200.1
g3263	g3263.t1	SSTP_0001139300	SSTP_0001139300.1
g3264	g3264.t1	SSTP_0001139400	SSTP_0001139400.1
g3265	g3265.t1	SSTP_0001139500	SSTP_0001139500.1
g3266	g3266.t1		
g3267	g3267.t1	SSTP_0001139600	SSTP_0001139600.1
g3268	g3268.t1	SSTP_0001139700	SSTP_0001139700.1
g3269	g3269.t1	SSTP_0001139800	SSTP_0001139800.1
g3269	g3269.t2	SSTP_0001139800	SSTP_0001139800.1
g327	g327.t1	SSTP_0000988200	SSTP_0000988200.1
g327	g327.t2	SSTP_0000988200	SSTP_0000988200.1
g3270	g3270.t1	SSTP_0001139900	SSTP_0001139900.1
g3271	g3271.t1	SSTP_0001140000	SSTP_0001140000.1
g3272	g3272.t1	SSTP_0001140100	SSTP_0001140100.1
g3273	g3273.t1	SSTP_0001140200	SSTP_0001140200.1
g3274	g3274.t1	SSTP_0001140300	SSTP_0001140300.1
g3275	g3275.t1	SSTP_0001140400	SSTP_0001140400.1
g3275	g3275.t2	SSTP_0001140400	SSTP_0001140400.1
g3276	g3276.t1	SSTP_0001140500	SSTP_0001140500.1
g3277	g3277.t1	SSTP_0001140600	SSTP_0001140600.1
g3277	g3277.t2	SSTP_0001140600	SSTP_0001140600.1
g3278	g3278.t1	SSTP_0001140700	SSTP_0001140700.1
g3279	g3279.t1	SSTP_0001140800	SSTP_0001140800.1
g328	g328.t1	SSTP_0000988100	SSTP_0000988100.1
g328	g328.t2	SSTP_0000988100	SSTP_0000988100.1
g3280	g3280.t1	SSTP_0001140900	SSTP_0001140900.1
g3281	g3281.t1	SSTP_0001141000	SSTP_0001141000.1
g3282	g3282.t1	SSTP_0001141100	SSTP_0001141100.1
g3283	g3283.t1	SSTP_0001141200	SSTP_0001141200.1
g3284	g3284.t1	SSTP_0001141300	SSTP_0001141300.1
g3285	g3285.t1	SSTP_0001141400	SSTP_0001141400.1
g3286	g3286.t1	SSTP_0001141500	SSTP_0001141500.1
g3287	g3287.t1	SSTP_0001141600	SSTP_0001141600.1
g3288	g3288.t1		
g3289	g3289.t1	SSTP_0001141700	SSTP_0001141700.1
g329	g329.t1	SSTP_0000988000	SSTP_0000988000.1
g3290	g3290.t1	SSTP_0001141800	SSTP_0001141800.1
g3291	g3291.t1	SSTP_0001141900	SSTP_0001141900.1
g3292	g3292.t1	SSTP_0001142000	SSTP_0001142000.1
g3293	g3293.t1	SSTP_0001142100	SSTP_0001142100.1
g3294	g3294.t1	SSTP_0001142200	SSTP_0001142200.1
g3294	g3294.t2	SSTP_0001142200	SSTP_0001142200.1
g3295	g3295.t1	SSTP_0001142300	SSTP_0001142300.1
g3296	g3296.t1	SSTP_0001142400	SSTP_0001142400.1
g3297	g3297.t1	SSTP_0001142500	SSTP_0001142500.1
g3298	g3298.t1	SSTP_0001142600	SSTP_0001142600.1
g3299	g3299.t1	SSTP_0001142600	SSTP_0001142600.1
g33	g33.t1	SSTP_0001046600	SSTP_0001046600.1
g330	g330.t1	SSTP_0000987900	SSTP_0000987900.1
g3300	g3300.t1	SSTP_0001142700	SSTP_0001142700.1
g3301	g3301.t1	SSTP_0001142800	SSTP_0001142800.1
g3302	g3302.t1	SSTP_0000334900	SSTP_0000334900.1
g3303	g3303.t1	SSTP_0000345100	SSTP_0000345100.1
g3304	g3304.t1	SSTP_0000345000	SSTP_0000345000.1
g3304	g3304.t2	SSTP_0000345000	SSTP_0000345000.1
g3305	g3305.t1	SSTP_0000345000	SSTP_0000345000.1
g3306	g3306.t1	SSTP_0000344900	SSTP_0000344900.1
g3307	g3307.t1	SSTP_0000344800	SSTP_0000344800.1
g3308	g3308.t1	SSTP_0000344700	SSTP_0000344700.1
g3309	g3309.t1	SSTP_0000344600	SSTP_0000344600.1
g331	g331.t1	SSTP_0000290300	SSTP_0000290300.1
g3310	g3310.t1	SSTP_0000925300	SSTP_0000925300.1
g3311	g3311.t1	SSTP_0000344400	SSTP_0000344400.1
g3312	g3312.t1	SSTP_0000344300	SSTP_0000344300.1
g3313	g3313.t1	SSTP_0000344300	SSTP_0000344300.1
g3314	g3314.t1	SSTP_0000344200	SSTP_0000344200.1
g3315	g3315.t1	SSTP_0000344100	SSTP_0000344100.1
g3316	g3316.t1	SSTP_0000343900	SSTP_0000343900.1
g3317	g3317.t1	SSTP_0000343900	SSTP_0000343900.1
g3318	g3318.t1	SSTP_0000343800	SSTP_0000343800.1
g3319	g3319.t1	SSTP_0000343700	SSTP_0000343700.1
g332	g332.t1	SSTP_0000812200	SSTP_0000812200.1
g3320	g3320.t1	SSTP_0000343600	SSTP_0000343600.1
g3321	g3321.t1	SSTP_0000343500	SSTP_0000343500.1
g3322	g3322.t1	SSTP_0000343400	SSTP_0000343400.1
g3323	g3323.t1	SSTP_0000343300	SSTP_0000343300.1
g3324	g3324.t1	SSTP_0000343200	SSTP_0000343200.1
g3325	g3325.t1	SSTP_0000343100	SSTP_0000343100.1
g3326	g3326.t1	SSTP_0000343000	SSTP_0000343000.1
g3327	g3327.t1	SSTP_0000342900	SSTP_0000342900.1
g3327	g3327.t2	SSTP_0000342900	SSTP_0000342900.1
g3328	g3328.t1	SSTP_0000342800	SSTP_0000342800.1
g3329	g3329.t1	SSTP_0000342700	SSTP_0000342700.1
g333	g333.t1	SSTP_0000812300	SSTP_0000812300.1
g3330	g3330.t1	SSTP_0000342600	SSTP_0000342600.1
g3331	g3331.t1	SSTP_0000342500	SSTP_0000342500.1
g3332	g3332.t1	SSTP_0000342400	SSTP_0000342400.1
g3332	g3332.t2	SSTP_0000342400	SSTP_0000342400.1
g3333	g3333.t1	SSTP_0000342300	SSTP_0000342300.1
g3334	g3334.t1	SSTP_0000342200	SSTP_0000342200.1
g3335	g3335.t1	SSTP_0000342100	SSTP_0000342100.1
g3336	g3336.t1	SSTP_0000342000	SSTP_0000342000.1
g3337	g3337.t1	SSTP_0000341900	SSTP_0000341900.1
g3338	g3338.t1	SSTP_0000341800	SSTP_0000341800.1
g3339	g3339.t1	SSTP_0000341700	SSTP_0000341700.1
g3339	g3339.t2	SSTP_0000341700	SSTP_0000341700.1
g3339	g3339.t3	SSTP_0000341700	SSTP_0000341700.1
g334	g334.t1	SSTP_0000812400	SSTP_0000812400.1
g3340	g3340.t1	SSTP_0000341600	SSTP_0000341600.1
g3341	g3341.t1	SSTP_0000341500	SSTP_0000341500.1
g3342	g3342.t1	SSTP_0000341400	SSTP_0000341400.1
g3343	g3343.t1	SSTP_0000341300	SSTP_0000341300.1
g3344	g3344.t1	SSTP_0000341200	SSTP_0000341200.1
g3345	g3345.t1	SSTP_0000341100	SSTP_0000341100.1
g3346	g3346.t1	SSTP_0000341000	SSTP_0000341000.1
g3347	g3347.t1	SSTP_0000340900	SSTP_0000340900.1
g3348	g3348.t1	SSTP_0000340800	SSTP_0000340800.1
g3349	g3349.t1	SSTP_0000340700	SSTP_0000340700.1
g335	g335.t1	SSTP_0000812500	SSTP_0000812500.1
g3350	g3350.t1	SSTP_0000340600	SSTP_0000340600.1
g3351	g3351.t1	SSTP_0000451700	SSTP_0000451700.1
g3352	g3352.t1	SSTP_0000340500	SSTP_0000340500.1
g3353	g3353.t1	SSTP_0000340400	SSTP_0000340400.1
g3353	g3353.t2	SSTP_0000340400	SSTP_0000340400.1
g3353	g3353.t3	SSTP_0000340400	SSTP_0000340400.1
g3354	g3354.t1	SSTP_0000340300	SSTP_0000340300.1
g3355	g3355.t1	SSTP_0000340200	SSTP_0000340200.1
g3356	g3356.t1	SSTP_0000340100	SSTP_0000340100.1
g3357	g3357.t1	SSTP_0000340000	SSTP_0000340000.1
g3358	g3358.t1	SSTP_0000339900	SSTP_0000339900.1
g3359	g3359.t1	SSTP_0000339800	SSTP_0000339800.1
g336	g336.t1	SSTP_0000812600	SSTP_0000812600.1
g3360	g3360.t1	SSTP_0000339700	SSTP_0000339700.1
g3361	g3361.t1	SSTP_0000339600	SSTP_0000339600.1
g3362	g3362.t1	SSTP_0000339500	SSTP_0000339500.1
g3363	g3363.t1	SSTP_0000339450	SSTP_0000339450.1
g3364	g3364.t1	SSTP_0000339400	SSTP_0000339400.1
g3365	g3365.t1	SSTP_0000339300	SSTP_0000339300.1
g3366	g3366.t1	SSTP_0000339200	SSTP_0000339200.1
g3367	g3367.t1	SSTP_0000339100	SSTP_0000339100.1
g3368	g3368.t1	SSTP_0000339000	SSTP_0000339000.1
g3369	g3369.t1	SSTP_0000338900	SSTP_0000338900.1
g337	g337.t1	SSTP_0000812600	SSTP_0000812600.1
g3370	g3370.t1	SSTP_0000338800	SSTP_0000338800.1
g3371	g3371.t1	SSTP_0000338700	SSTP_0000338700.1
g3372	g3372.t1	SSTP_0000338400	SSTP_0000338400.1
g3373	g3373.t1	SSTP_0000338600	SSTP_0000338600.1
g3374	g3374.t1	SSTP_0000338300	SSTP_0000338300.1
g3375	g3375.t1	SSTP_0000338200	SSTP_0000338200.1
g3376	g3376.t1	SSTP_0000338100	SSTP_0000338100.1
g3377	g3377.t1	SSTP_0000338000	SSTP_0000338000.1
g3377	g3377.t2	SSTP_0000338000	SSTP_0000338000.1
g3379	g3379.t1	SSTP_0000071900	SSTP_0000071900.1
g338	g338.t1	SSTP_0000812700	SSTP_0000812700.1
g3380	g3380.t1	SSTP_0000071800	SSTP_0000071800.1
g3381	g3381.t1	SSTP_0000071700	SSTP_0000071700.1
g3382	g3382.t1	SSTP_0000071600	SSTP_0000071600.1
g3383	g3383.t1	SSTP_0000071500	SSTP_0000071500.1
g3384	g3384.t1	SSTP_0000071400	SSTP_0000071400.1
g3385	g3385.t1	SSTP_0000071300	SSTP_0000071300.1
g3386	g3386.t1	SSTP_0000071200	SSTP_0000071200.1
g3387	g3387.t1	SSTP_0000071100	SSTP_0000071100.1
g3388	g3388.t1	SSTP_0000071000	SSTP_0000071000.1
g3389	g3389.t1	SSTP_0000070900	SSTP_0000070900.1
g339	g339.t1	SSTP_0000812800	SSTP_0000812800.1
g3390	g3390.t1	SSTP_0000070800	SSTP_0000070800.1
g3391	g3391.t1	SSTP_0000070600	SSTP_0000070600.1
g3392	g3392.t1	SSTP_0000070500	SSTP_0000070500.1
g3392	g3392.t2	SSTP_0000070500	SSTP_0000070500.1
g3393	g3393.t1	SSTP_0000070400	SSTP_0000070400.1
g3394	g3394.t1	SSTP_0000070300	SSTP_0000070300.1
g3395	g3395.t1	SSTP_0000070200	SSTP_0000070200.1
g3396	g3396.t1	SSTP_0000070100	SSTP_0000070100.1
g3397	g3397.t1	SSTP_0000070000	SSTP_0000070000.1
g3397	g3397.t2	SSTP_0000070000	SSTP_0000070000.1
g3398	g3398.t1	SSTP_0000069900	SSTP_0000069900.1
g3399	g3399.t1	SSTP_0000069700	SSTP_0000069700.1
g34	g34.t1	SSTP_0001046600	SSTP_0001046600.1
g34	g34.t2	SSTP_0001046600	SSTP_0001046600.1
g340	g340.t1	SSTP_0000812900	SSTP_0000812900.1
g3400	g3400.t1	SSTP_0000069600	SSTP_0000069600.1
g3401	g3401.t1	SSTP_0000069500	SSTP_0000069500.1
g3402	g3402.t1	SSTP_0000069400	SSTP_0000069400.1
g3403	g3403.t1	SSTP_0000069300	SSTP_0000069300.1
g3404	g3404.t1	SSTP_0000069200	SSTP_0000069200.1
g3405	g3405.t1	SSTP_0000068900	SSTP_0000068900.1
g3406	g3406.t1	SSTP_0000068800	SSTP_0000068800.1
g3407	g3407.t1	SSTP_0000068700	SSTP_0000068700.1
g3408	g3408.t1	SSTP_0000483368	SSTP_0000483368.1
g3409	g3409.t1	SSTP_0001053700	SSTP_0001053700.1
g341	g341.t1	SSTP_0000813000	SSTP_0000813000.1
g3410	g3410.t1	SSTP_0000025600	SSTP_0000025600.1
g3411	g3411.t1	SSTP_0000074200	SSTP_0000074200.1
g3412	g3412.t1	SSTP_0000074100	SSTP_0000074100.1
g3413	g3413.t1	SSTP_0000074000	SSTP_0000074000.1
g3414	g3414.t1	SSTP_0000073900	SSTP_0000073900.1
g3415	g3415.t1	SSTP_0000073800	SSTP_0000073800.1
g3416	g3416.t1	SSTP_0000073700	SSTP_0000073700.1
g3417	g3417.t1	SSTP_0000073500	SSTP_0000073500.1
g3418	g3418.t1	SSTP_0000073400	SSTP_0000073400.1
g3419	g3419.t1	SSTP_0000073300	SSTP_0000073300.1
g342	g342.t1	SSTP_0000813100	SSTP_0000813100.1
g3420	g3420.t1	SSTP_0000073200	SSTP_0000073200.1
g3421	g3421.t1	SSTP_0000073200	SSTP_0000073200.1
g3422	g3422.t1	SSTP_0000073100	SSTP_0000073100.1
g3423	g3423.t1	SSTP_0000073000	SSTP_0000073000.1
g3424	g3424.t1	SSTP_0000072900	SSTP_0000072900.1
g3425	g3425.t1	SSTP_0000072800	SSTP_0000072800.1
g3426	g3426.t1	SSTP_0000072600	SSTP_0000072600.1
g3427	g3427.t1	SSTP_0000072500	SSTP_0000072500.1
g3428	g3428.t1	SSTP_0000072400	SSTP_0000072400.1
g3429	g3429.t1	SSTP_0000072300	SSTP_0000072300.1
g343	g343.t1	SSTP_0000813200	SSTP_0000813200.1
g3430	g3430.t1	SSTP_0000072200	SSTP_0000072200.1
g3431	g3431.t1	SSTP_0000337800	SSTP_0000337800.1
g3431	g3431.t2	SSTP_0000337800	SSTP_0000337800.1
g3432	g3432.t1	SSTP_0000337700	SSTP_0000337700.1
g3433	g3433.t1	SSTP_0000337600	SSTP_0000337600.1
g3434	g3434.t1	SSTP_0000337500	SSTP_0000337500.1
g3435	g3435.t1	SSTP_0000337400	SSTP_0000337400.1
g3436	g3436.t1	SSTP_0000337200	SSTP_0000337200.1
g3437	g3437.t1	SSTP_0000337100	SSTP_0000337100.1
g3438	g3438.t1	SSTP_0000337000	SSTP_0000337000.1
g3438	g3438.t2	SSTP_0000337000	SSTP_0000337000.1
g3439	g3439.t1	SSTP_0000336900	SSTP_0000336900.1
g344	g344.t1	SSTP_0000813300	SSTP_0000813300.1
g3440	g3440.t1	SSTP_0000336800	SSTP_0000336800.1
g3441	g3441.t1	SSTP_0000336700	SSTP_0000336700.1
g3442	g3442.t1	SSTP_0000336700	SSTP_0000336700.1
g3443	g3443.t1	SSTP_0000336600	SSTP_0000336600.1
g3444	g3444.t1	SSTP_0000336500	SSTP_0000336500.1
g3445	g3445.t1	SSTP_0000336300	SSTP_0000336300.1
g3446	g3446.t1	SSTP_0000336400	SSTP_0000336400.1
g3447	g3447.t1	SSTP_0000336400	SSTP_0000336400.1
g3448	g3448.t1	SSTP_0000336300	SSTP_0000336300.1
g3449	g3449.t1	SSTP_0000336200	SSTP_0000336200.1
g345	g345.t1	SSTP_0000813400	SSTP_0000813400.1
g3450	g3450.t1	SSTP_0000336300	SSTP_0000336300.1
g3451	g3451.t1	SSTP_0000336100	SSTP_0000336100.1
g3452	g3452.t1	SSTP_0000336000	SSTP_0000336000.1
g3453	g3453.t1	SSTP_0000335900	SSTP_0000335900.1
g3454	g3454.t1	SSTP_0000335800	SSTP_0000335800.1
g3455	g3455.t1	SSTP_0000335700	SSTP_0000335700.1
g3456	g3456.t1	SSTP_0000335600	SSTP_0000335600.1
g3457	g3457.t1	SSTP_0000335500	SSTP_0000335500.1
g3458	g3458.t1	SSTP_0000335400	SSTP_0000335400.1
g3458	g3458.t2	SSTP_0000335400	SSTP_0000335400.1
g3459	g3459.t1	SSTP_0000335300	SSTP_0000335300.1
g3459	g3459.t2	SSTP_0000335300	SSTP_0000335300.1
g346	g346.t1	SSTP_0000813500	SSTP_0000813500.1
g3460	g3460.t1	SSTP_0000335100	SSTP_0000335100.1
g3460	g3460.t2	SSTP_0000335100	SSTP_0000335100.1
g3461	g3461.t1	SSTP_0000335000	SSTP_0000335000.1
g3462	g3462.t1	SSTP_0000334900	SSTP_0000334900.1
g3463	g3463.t1	SSTP_0001148700	SSTP_0001148700.1
g3464	g3464.t1	SSTP_0000539500	SSTP_0000539500.1
g3465	g3465.t1	SSTP_0000539500	SSTP_0000539500.1
g3466	g3466.t1	SSTP_0000539600	SSTP_0000539600.1
g3467	g3467.t1	SSTP_0000539700	SSTP_0000539700.1
g3468	g3468.t1	SSTP_0000539800	SSTP_0000539800.1
g3469	g3469.t1	SSTP_0000539900	SSTP_0000539900.1
g347	g347.t1	SSTP_0000813600	SSTP_0000813600.1
g3470	g3470.t1	SSTP_0000540000	SSTP_0000540000.1
g3471	g3471.t1	SSTP_0000540100	SSTP_0000540100.1
g3472	g3472.t1	SSTP_0000540200	SSTP_0000540200.1
g3473	g3473.t1	SSTP_0000540300	SSTP_0000540300.1
g3474	g3474.t1	SSTP_0000540400	SSTP_0000540400.1
g3475	g3475.t1	SSTP_0000540500	SSTP_0000540500.1
g3476	g3476.t1	SSTP_0000540600	SSTP_0000540600.1
g3477	g3477.t1	SSTP_0000540700	SSTP_0000540700.1
g3478	g3478.t1	SSTP_0000540800	SSTP_0000540800.1
g3479	g3479.t1	SSTP_0000540900	SSTP_0000540900.1
g348	g348.t1	SSTP_0000813700	SSTP_0000813700.1
g3480	g3480.t1	SSTP_0000541000	SSTP_0000541000.1
g3481	g3481.t1	SSTP_0000541100	SSTP_0000541100.1
g3482	g3482.t1	SSTP_0000541200	SSTP_0000541200.1
g3483	g3483.t1		
g3484	g3484.t1	SSTP_0000541400	SSTP_0000541400.1
g3485	g3485.t1	SSTP_0000541500	SSTP_0000541500.1
g3486	g3486.t1	SSTP_0000541600	SSTP_0000541600.1
g3487	g3487.t1	SSTP_0000541700	SSTP_0000541700.1
g3487	g3487.t2	SSTP_0000541700	SSTP_0000541700.1
g3488	g3488.t1	SSTP_0000541800	SSTP_0000541800.1
g3489	g3489.t1	SSTP_0000541900	SSTP_0000541900.1
g349	g349.t1	SSTP_0000813800	SSTP_0000813800.1
g3490	g3490.t1	SSTP_0000542000	SSTP_0000542000.1
g3491	g3491.t1	SSTP_0000542100	SSTP_0000542100.1
g3492	g3492.t1	SSTP_0000542200	SSTP_0000542200.1
g3493	g3493.t1	SSTP_0000542300	SSTP_0000542300.1
g3494	g3494.t1	SSTP_0000542400	SSTP_0000542400.1
g3495	g3495.t1	SSTP_0000542500	SSTP_0000542500.1
g3496	g3496.t1	SSTP_0000542600	SSTP_0000542600.1
g3497	g3497.t1	SSTP_0000542700	SSTP_0000542700.1
g3498	g3498.t1	SSTP_0000542800	SSTP_0000542800.1
g3499	g3499.t1	SSTP_0000542900	SSTP_0000542900.1
g35	g35.t1	SSTP_0001046700	SSTP_0001046700.1
g350	g350.t1	SSTP_0000813900	SSTP_0000813900.1
g3500	g3500.t1	SSTP_0000543000	SSTP_0000543000.1
g3501	g3501.t1	SSTP_0000543100	SSTP_0000543100.1
g3502	g3502.t1	SSTP_0000543300	SSTP_0000543300.1
g3503	g3503.t1	SSTP_0000543400	SSTP_0000543400.1
g3503	g3503.t2	SSTP_0000543400	SSTP_0000543400.1
g3504	g3504.t1	SSTP_0000543500	SSTP_0000543500.1
g3505	g3505.t1	SSTP_0000543600	SSTP_0000543600.1
g3506	g3506.t1	SSTP_0000543700	SSTP_0000543700.1
g3507	g3507.t1	SSTP_0000543800	SSTP_0000543800.1
g3508	g3508.t1	SSTP_0000543900	SSTP_0000543900.1
g3509	g3509.t1	SSTP_0000544000	SSTP_0000544000.1
g3509	g3509.t2	SSTP_0000544000	SSTP_0000544000.1
g351	g351.t1	SSTP_0000814000	SSTP_0000814000.1
g3510	g3510.t1	SSTP_0000544100	SSTP_0000544100.1
g3511	g3511.t1	SSTP_0000544200	SSTP_0000544200.1
g3512	g3512.t1	SSTP_0000544300	SSTP_0000544300.1
g3513	g3513.t1	SSTP_0000544400	SSTP_0000544400.1
g3514	g3514.t1	SSTP_0000544500	SSTP_0000544500.1
g3515	g3515.t1	SSTP_0000544600	SSTP_0000544600.1
g3516	g3516.t1	SSTP_0000544700	SSTP_0000544700.1
g3517	g3517.t1	SSTP_0000544800	SSTP_0000544800.1
g3518	g3518.t1	SSTP_0000544900	SSTP_0000544900.1
g3519	g3519.t1	SSTP_0000545000	SSTP_0000545000.1
g3519	g3519.t2	SSTP_0000545000	SSTP_0000545000.1
g352	g352.t1	SSTP_0000814100	SSTP_0000814100.1
g3520	g3520.t1	SSTP_0000545050	SSTP_0000545050.1
g3521	g3521.t1	SSTP_0000545100	SSTP_0000545100.1
g3522	g3522.t1	SSTP_0000545200	SSTP_0000545200.1
g3523	g3523.t1	SSTP_0000545300	SSTP_0000545300.1
g3524	g3524.t1	SSTP_0000545400	SSTP_0000545400.1
g3525	g3525.t1	SSTP_0000545500	SSTP_0000545500.1
g3525	g3525.t2	SSTP_0000545500	SSTP_0000545500.1
g3526	g3526.t1	SSTP_0000545600	SSTP_0000545600.1
g3527	g3527.t1	SSTP_0000545700	SSTP_0000545700.1
g3528	g3528.t1	SSTP_0000545800	SSTP_0000545800.1
g3529	g3529.t1	SSTP_0000545900	SSTP_0000545900.1
g353	g353.t1	SSTP_0000814200	SSTP_0000814200.1
g3530	g3530.t1	SSTP_0000546000	SSTP_0000546000.1
g3531	g3531.t1	SSTP_0000336300	SSTP_0000336300.1
g3532	g3532.t1	SSTP_0000546200	SSTP_0000546200.1
g3533	g3533.t1	SSTP_0000546300	SSTP_0000546300.1
g3534	g3534.t1	SSTP_0000546400	SSTP_0000546400.1
g3535	g3535.t1	SSTP_0000546500	SSTP_0000546500.1
g3536	g3536.t1	SSTP_0000546600	SSTP_0000546600.1
g3537	g3537.t1	SSTP_0000546700	SSTP_0000546700.1
g3538	g3538.t1	SSTP_0000546900	SSTP_0000546900.1
g3539	g3539.t1	SSTP_0000546900	SSTP_0000546900.1
g3539	g3539.t2	SSTP_0000546900	SSTP_0000546900.1
g354	g354.t1	SSTP_0000814300	SSTP_0000814300.1
g3540	g3540.t1	SSTP_0000547000	SSTP_0000547000.1
g3541	g3541.t1	SSTP_0000547100	SSTP_0000547100.1
g3542	g3542.t1	SSTP_0000547200	SSTP_0000547200.1
g3543	g3543.t1	SSTP_0000547300	SSTP_0000547300.1
g3544	g3544.t1	SSTP_0000547400	SSTP_0000547400.1
g3545	g3545.t1	SSTP_0000547500	SSTP_0000547500.1
g3546	g3546.t1	SSTP_0000547600	SSTP_0000547600.1
g3547	g3547.t1	SSTP_0000547700	SSTP_0000547700.1
g3548	g3548.t1	SSTP_0000547800	SSTP_0000547800.1
g3549	g3549.t1	SSTP_0000547900	SSTP_0000547900.1
g355	g355.t1	SSTP_0000814400	SSTP_0000814400.1
g3550	g3550.t1	SSTP_0000548000	SSTP_0000548000.1
g3551	g3551.t1	SSTP_0001235100	SSTP_0001235100.1
g3552	g3552.t1	SSTP_0000706200	SSTP_0000706200.1
g3553	g3553.t1	SSTP_0000706300	SSTP_0000706300.1
g3554	g3554.t1	SSTP_0000706400	SSTP_0000706400.1
g3555	g3555.t1	SSTP_0000706500	SSTP_0000706500.1
g3556	g3556.t1	SSTP_0000706600	SSTP_0000706600.1
g3557	g3557.t1	SSTP_0000706700	SSTP_0000706700.1
g3558	g3558.t1	SSTP_0001213750	SSTP_0001213750.1
g3559	g3559.t1	SSTP_0001213750	SSTP_0001213750.1
g356	g356.t1	SSTP_0001235100	SSTP_0001235100.1
g3560	g3560.t1	SSTP_0000841000	SSTP_0000841000.1
g3561	g3561.t1	SSTP_0000840900	SSTP_0000840900.1
g3562	g3562.t1	SSTP_0000840800	SSTP_0000840800.1
g3563	g3563.t1	SSTP_0000840700	SSTP_0000840700.1
g3564	g3564.t1	SSTP_0000840600	SSTP_0000840600.1
g3565	g3565.t1	SSTP_0000840500	SSTP_0000840500.1
g3566	g3566.t1	SSTP_0000840400	SSTP_0000840400.1
g3567	g3567.t1	SSTP_0000840300	SSTP_0000840300.1
g3568	g3568.t1	SSTP_0000840200	SSTP_0000840200.1
g3569	g3569.t1		
g357	g357.t1	SSTP_0000814500	SSTP_0000814500.1
g3570	g3570.t1	SSTP_0000734000	SSTP_0000734000.1
g3571	g3571.t1	SSTP_0000840000	SSTP_0000840000.1
g3572	g3572.t1	SSTP_0000839900	SSTP_0000839900.1
g3573	g3573.t1	SSTP_0000839800	SSTP_0000839800.1
g3574	g3574.t1	SSTP_0000839700	SSTP_0000839700.1
g3575	g3575.t1	SSTP_0000839600	SSTP_0000839600.1
g3576	g3576.t1	SSTP_0000839500	SSTP_0000839500.1
g3577	g3577.t1	SSTP_0000839400	SSTP_0000839400.1
g3578	g3578.t1	SSTP_0000839200	SSTP_0000839200.1
g3578	g3578.t2	SSTP_0000839200	SSTP_0000839200.1
g3578	g3578.t3	SSTP_0000839200	SSTP_0000839200.1
g3578	g3578.t4	SSTP_0000839200	SSTP_0000839200.1
g3578	g3578.t5	SSTP_0000839200	SSTP_0000839200.1
g3578	g3578.t6	SSTP_0000839200	SSTP_0000839200.1
