Sster_gene	Sster_mRNA	Sster_transcript	SSTP_gene	SSTP_transcript
XLOC_004210	TCONS_00006021	TCONS_00006021.p1	SSTP_0000806900	SSTP_0000806900.1
XLOC_004210	TCONS_00010706	TCONS_00010706.p1	SSTP_0000121800	SSTP_0000121800.1
XLOC_004211	TCONS_00006022	TCONS_00006022.p1	SSTP_0000122100	SSTP_0000122100.1
XLOC_004211	TCONS_00006023	TCONS_00006023.p1	SSTP_0000122300	SSTP_0000122300.1
XLOC_004211	TCONS_00010707	TCONS_00010707.p1	SSTP_0000122100	SSTP_0000122100.1
XLOC_004212	TCONS_00006024	TCONS_00006024.p1	SSTP_0000122400	SSTP_0000122400.1
XLOC_004212	TCONS_00006025	TCONS_00006025.p1	SSTP_0000122500	SSTP_0000122500.1
XLOC_004212	TCONS_00010708	TCONS_00010708.p1	SSTP_0000122400	SSTP_0000122400.1
XLOC_004213	TCONS_00006026	TCONS_00006026.p1	SSTP_0000122900	SSTP_0000122900.1
XLOC_004214	TCONS_00006027	TCONS_00006027.p1	SSTP_0000123000	SSTP_0000123000.1
XLOC_004215	TCONS_00006028	TCONS_00006028.p1	SSTP_0000123100	SSTP_0000123100.1
XLOC_004216	TCONS_00006029	TCONS_00006029.p1	SSTP_0000123200	SSTP_0000123200.1
XLOC_004216	TCONS_00010709	TCONS_00010709.p1	SSTP_0000123200	SSTP_0000123200.1
XLOC_004217	TCONS_00006030	TCONS_00006030.p1	SSTP_0000123400	SSTP_0000123400.1
XLOC_004217	TCONS_00010710	TCONS_00010710.p1	SSTP_0000123400	SSTP_0000123400.1
XLOC_004218	TCONS_00006031	TCONS_00006031.p1	SSTP_0000123500	SSTP_0000123500.1
XLOC_004218	TCONS_00010711	TCONS_00010711.p1	SSTP_0000123500	SSTP_0000123500.1
XLOC_004219	TCONS_00006032	TCONS_00006032.p1	SSTP_0000123800	SSTP_0000123800.1
XLOC_004219	TCONS_00006033	TCONS_00006033.p1	SSTP_0000123900	SSTP_0000123900.1
XLOC_004219	TCONS_00010712	TCONS_00010712.p1	SSTP_0000123800	SSTP_0000123800.1
XLOC_004220	TCONS_00006034	TCONS_00006034.p1	SSTP_0000124400	SSTP_0000124400.1
XLOC_004220	TCONS_00006035	TCONS_00006035.p1	SSTP_0000124500	SSTP_0000124500.1
XLOC_004220	TCONS_00006036	TCONS_00006036.p1	SSTP_0000124600	SSTP_0000124600.1
XLOC_004220	TCONS_00010713	TCONS_00010713.p1	SSTP_0000124600	SSTP_0000124600.1
XLOC_004221	TCONS_00006037	TCONS_00006037.p1	SSTP_0000124800	SSTP_0000124800.1
XLOC_004222	TCONS_00006038	TCONS_00006038.p1	SSTP_0000125200	SSTP_0000125200.1
XLOC_004223	TCONS_00006039	TCONS_00006039.p1	SSTP_0000125400	SSTP_0000125400.1
XLOC_004224	TCONS_00006040	TCONS_00006040.p1	SSTP_0000125600	SSTP_0000125600.1
XLOC_004225	TCONS_00006041	TCONS_00006041.p1	SSTP_0000125700	SSTP_0000125700.1
XLOC_004225	TCONS_00010714	TCONS_00010714.p1	SSTP_0000125700	SSTP_0000125700.1
XLOC_004226	TCONS_00006042	TCONS_00006042.p1	SSTP_0000125900	SSTP_0000125900.1
XLOC_004226	TCONS_00010715	TCONS_00010715.p1	SSTP_0000125900	SSTP_0000125900.1
XLOC_004227	TCONS_00006043	TCONS_00006043.p1	SSTP_0000126100	SSTP_0000126100.1
XLOC_004227	TCONS_00006044	TCONS_00006044.p1	SSTP_0000126200	SSTP_0000126200.1
XLOC_004227	TCONS_00010716	TCONS_00010716.p1	SSTP_0000126200	SSTP_0000126200.1
XLOC_004228	TCONS_00006045	TCONS_00006045.p1	SSTP_0000126300	SSTP_0000126300.1
XLOC_004229	TCONS_00006046	TCONS_00006046.p1	SSTP_0000126600	SSTP_0000126600.1
XLOC_004230	TCONS_00006047	TCONS_00006047.p1	SSTP_0000126700	SSTP_0000126700.1
XLOC_004231	TCONS_00006048	TCONS_00006048.p1	SSTP_0000127000	SSTP_0000127000.1
XLOC_004231	TCONS_00010717	TCONS_00010717.p1	SSTP_0000127000	SSTP_0000127000.1
XLOC_004232	TCONS_00006049	TCONS_00006049.p1	SSTP_0000127200	SSTP_0000127200.1
XLOC_004233	TCONS_00006050	TCONS_00006050.p1	SSTP_0000127300	SSTP_0000127300.1
XLOC_004234	TCONS_00006051	TCONS_00006051.p1	SSTP_0000127600	SSTP_0000127600.1
XLOC_004234	TCONS_00006052	TCONS_00006052.p1	SSTP_0000127700	SSTP_0000127700.1
XLOC_004234	TCONS_00006053	TCONS_00006053.p1	SSTP_0000127800	SSTP_0000127800.1
XLOC_004234	TCONS_00010718	TCONS_00010718.p1	SSTP_0000127600	SSTP_0000127600.1
XLOC_004235	TCONS_00006054	TCONS_00006054.p1	SSTP_0000128000	SSTP_0000128000.1
XLOC_004236	TCONS_00006055	TCONS_00006055.p1	SSTP_0000128100	SSTP_0000128100.1
XLOC_004237	TCONS_00006056	TCONS_00006056.p1	SSTP_0000128200	SSTP_0000128200.1
XLOC_004238	TCONS_00006057	TCONS_00006057.p1	SSTP_0000128400	SSTP_0000128400.1
XLOC_004238	TCONS_00010719	TCONS_00010719.p1	SSTP_0000128400	SSTP_0000128400.1
XLOC_004239	TCONS_00006058	TCONS_00006058.p1	SSTP_0000128600	SSTP_0000128600.1
XLOC_004240	TCONS_00006059	TCONS_00006059.p1	SSTP_0000128700	SSTP_0000128700.1
XLOC_004241	TCONS_00006060	TCONS_00006060.p1	SSTP_0000129100	SSTP_0000129100.1
XLOC_004241	TCONS_00010720	TCONS_00010720.p1	SSTP_0000129000	SSTP_0000129000.1
XLOC_004241	TCONS_00010721	TCONS_00010721.p1	SSTP_0000129100	SSTP_0000129100.1
XLOC_004242	TCONS_00006061	TCONS_00006061.p1	SSTP_0000129500	SSTP_0000129500.1
XLOC_004243	TCONS_00006062	TCONS_00006062.p1	SSTP_0000129700	SSTP_0000129700.1
XLOC_004244	TCONS_00006063	TCONS_00006063.p1	SSTP_0000130000	SSTP_0000130000.1
XLOC_004245	TCONS_00006064	TCONS_00006064.p1	SSTP_0000130200	SSTP_0000130200.1
XLOC_004246	TCONS_00006065	TCONS_00006065.p1	SSTP_0000130400	SSTP_0000130400.1
XLOC_004247	TCONS_00006066	TCONS_00006066.p1	SSTP_0000130500	SSTP_0000130500.1
XLOC_004248	TCONS_00006067	TCONS_00006067.p1	SSTP_0000130800	SSTP_0000130800.1
XLOC_004248	TCONS_00010722	TCONS_00010722.p1	SSTP_0000130800	SSTP_0000130800.1
XLOC_004249	TCONS_00006068	TCONS_00006068.p1	SSTP_0000131000	SSTP_0000131000.1
XLOC_004250	TCONS_00006069	TCONS_00006069.p1	SSTP_0000131100	SSTP_0000131100.1
XLOC_004250	TCONS_00010723	TCONS_00010723.p1	SSTP_0000131100	SSTP_0000131100.1
XLOC_004251	TCONS_00006070	TCONS_00006070.p1	SSTP_0000131300	SSTP_0000131300.1
XLOC_004251	TCONS_00006071	TCONS_00006071.p1	SSTP_0000131400	SSTP_0000131400.1
XLOC_004251	TCONS_00010724	TCONS_00010724.p1	SSTP_0000131400	SSTP_0000131400.1
XLOC_004252	TCONS_00006072	TCONS_00006072.p1	SSTP_0000131500	SSTP_0000131500.1
XLOC_004252	TCONS_00006073	TCONS_00006073.p1	SSTP_0000131700	SSTP_0000131700.1
XLOC_004252	TCONS_00010725	TCONS_00010725.p1	SSTP_0000131500	SSTP_0000131500.1
XLOC_004253	TCONS_00006074	TCONS_00006074.p1	SSTP_0000131900	SSTP_0000131900.1
XLOC_004254	TCONS_00006075	TCONS_00006075.p1	SSTP_0000132200	SSTP_0000132200.1
XLOC_004255	TCONS_00006076	TCONS_00006076.p1	SSTP_0000132300	SSTP_0000132300.1
XLOC_004255	TCONS_00010726	TCONS_00010726.p2	SSTP_0000132300	SSTP_0000132300.1
XLOC_004256	TCONS_00006077	TCONS_00006077.p1	SSTP_0000132400	SSTP_0000132400.1
XLOC_004256	TCONS_00010727	TCONS_00010727.p1	SSTP_0000132400	SSTP_0000132400.1
XLOC_004257	TCONS_00006078	TCONS_00006078.p1	SSTP_0000132600	SSTP_0000132600.1
XLOC_004257	TCONS_00010728	TCONS_00010728.p1	SSTP_0000132600	SSTP_0000132600.1
XLOC_004258	TCONS_00006079	TCONS_00006079.p1	SSTP_0000132800	SSTP_0000132800.1
XLOC_004259	TCONS_00010729	TCONS_00010729.p1	SSTP_0000132900	SSTP_0000132900.1
XLOC_004260	TCONS_00006080	TCONS_00006080.p1	SSTP_0000133100	SSTP_0000133100.1
XLOC_004260	TCONS_00010730	TCONS_00010730.p1	SSTP_0000133100	SSTP_0000133100.1
XLOC_004261	TCONS_00006081	TCONS_00006081.p1	SSTP_0000133600	SSTP_0000133600.1
XLOC_004262	TCONS_00006082	TCONS_00006082.p1	SSTP_0000134300	SSTP_0000134300.1
XLOC_004263	TCONS_00006083	TCONS_00006083.p1	SSTP_0000134400	SSTP_0000134400.1
XLOC_004263	TCONS_00010731	TCONS_00010731.p1	SSTP_0000134400	SSTP_0000134400.1
XLOC_004263	TCONS_00010732	TCONS_00010732.p1	SSTP_0000134500	SSTP_0000134500.1
XLOC_004264	TCONS_00006084	TCONS_00006084.p1	SSTP_0000134900	SSTP_0000134900.1
XLOC_004265	TCONS_00006085	TCONS_00006085.p1	SSTP_0000135000	SSTP_0000135000.1
XLOC_004266	TCONS_00010733	TCONS_00010733.p1	SSTP_0000135200	SSTP_0000135200.1
XLOC_004267	TCONS_00006086	TCONS_00006086.p1	SSTP_0000136000	SSTP_0000136000.1
XLOC_004268	TCONS_00006087	TCONS_00006087.p1	SSTP_0000136200	SSTP_0000136200.1
XLOC_004269	TCONS_00006088	TCONS_00006088.p1	SSTP_0000136400	SSTP_0000136400.1
XLOC_004270	TCONS_00006089	TCONS_00006089.p1	SSTP_0000136450	SSTP_0000136450.1
XLOC_004271	TCONS_00006090	TCONS_00006090.p1	SSTP_0000136500	SSTP_0000136500.1
XLOC_004272	TCONS_00006091	TCONS_00006091.p1	SSTP_0000136600	SSTP_0000136600.1
XLOC_004273	TCONS_00006092	TCONS_00006092.p1	SSTP_0000137100	SSTP_0000137100.1
XLOC_004274	TCONS_00006093	TCONS_00006093.p1	SSTP_0000137200	SSTP_0000137200.1
XLOC_004275	TCONS_00006094	TCONS_00006094.p1	SSTP_0000137700	SSTP_0000137700.1
XLOC_004275	TCONS_00010734	TCONS_00010734.p1	SSTP_0000137700	SSTP_0000137700.1
XLOC_004276	TCONS_00006095	TCONS_00006095.p1	SSTP_0001142800	SSTP_0001142800.1
XLOC_004277	TCONS_00006096	TCONS_00006096.p1	SSTP_0000138200	SSTP_0000138200.1
XLOC_004278	TCONS_00006097	TCONS_00006097.p1	SSTP_0000138400	SSTP_0000138400.1
XLOC_004279	TCONS_00006098	TCONS_00006098.p1	SSTP_0000138800	SSTP_0000138800.1
XLOC_004280	TCONS_00006099	TCONS_00006099.p1	SSTP_0000403900	SSTP_0000403900.1
XLOC_004280	TCONS_00010735	TCONS_00010735.p1	SSTP_0000403900	SSTP_0000403900.1
XLOC_004281	TCONS_00006100	TCONS_00006100.p1	SSTP_0000139700	SSTP_0000139700.1
XLOC_004282	TCONS_00006101	TCONS_00006101.p1	SSTP_0000139900	SSTP_0000139900.1
XLOC_004282	TCONS_00010736	TCONS_00010736.p1	SSTP_0000139900	SSTP_0000139900.1
XLOC_004283	TCONS_00006102	TCONS_00006102.p1	SSTP_0000140200	SSTP_0000140200.1
XLOC_004283	TCONS_00006103	TCONS_00006103.p1	SSTP_0000140300	SSTP_0000140300.1
XLOC_004283	TCONS_00010737	TCONS_00010737.p1	SSTP_0000140200	SSTP_0000140200.1
XLOC_004284	TCONS_00006104	TCONS_00006104.p1	SSTP_0000140700	SSTP_0000140700.1
XLOC_004285	TCONS_00006105	TCONS_00006105.p1	SSTP_0000141000	SSTP_0000141000.1
XLOC_004285	TCONS_00010738	TCONS_00010738.p1	SSTP_0000141000	SSTP_0000141000.1
XLOC_004286	TCONS_00006106	TCONS_00006106.p1	SSTP_0000141300	SSTP_0000141300.1
XLOC_004287	TCONS_00006107	TCONS_00006107.p1	SSTP_0000141700	SSTP_0000141700.1
XLOC_004288	TCONS_00006108	TCONS_00006108.p1	SSTP_0000141900	SSTP_0000141900.1
XLOC_004289	TCONS_00006109	TCONS_00006109.p1	SSTP_0000142200	SSTP_0000142200.1
XLOC_004289	TCONS_00010739	TCONS_00010739.p1	SSTP_0000142200	SSTP_0000142200.1
XLOC_004290	TCONS_00006110	TCONS_00006110.p1	SSTP_0000142300	SSTP_0000142300.1
XLOC_004291	TCONS_00006111	TCONS_00006111.p1	SSTP_0000142600	SSTP_0000142600.1
XLOC_004292	TCONS_00006112	TCONS_00006112.p1	SSTP_0000142900	SSTP_0000142900.1
XLOC_004292	TCONS_00006113	TCONS_00006113.p1	SSTP_0000143000	SSTP_0000143000.1
XLOC_004292	TCONS_00010740	TCONS_00010740.p1	SSTP_0000143000	SSTP_0000143000.1
XLOC_004293	TCONS_00006114	TCONS_00006114.p1	SSTP_0000143300	SSTP_0000143300.1
XLOC_004294	TCONS_00006115	TCONS_00006115.p1	SSTP_0000143600	SSTP_0000143600.1
XLOC_004295	TCONS_00006116	TCONS_00006116.p1	SSTP_0000143800	SSTP_0000143800.1
XLOC_004296	TCONS_00006117	TCONS_00006117.p1	SSTP_0000144300	SSTP_0000144300.1
XLOC_004296	TCONS_00010741	TCONS_00010741.p1	SSTP_0000144300	SSTP_0000144300.1
XLOC_004297	TCONS_00006118	TCONS_00006118.p1	SSTP_0000144400	SSTP_0000144400.1
XLOC_004298	TCONS_00006119	TCONS_00006119.p1	SSTP_0000144500	SSTP_0000144500.1
XLOC_004298	TCONS_00010742	TCONS_00010742.p1	SSTP_0000144500	SSTP_0000144500.1
XLOC_004299	TCONS_00006120	TCONS_00006120.p1	SSTP_0000144600	SSTP_0000144600.1
XLOC_004300	TCONS_00006121	TCONS_00006121.p1	SSTP_0000144700	SSTP_0000144700.1
XLOC_004301	TCONS_00006122	TCONS_00006122.p1	SSTP_0000144900	SSTP_0000144900.1
XLOC_004302	TCONS_00006123	TCONS_00006123.p1	SSTP_0000145100	SSTP_0000145100.1
XLOC_004303	TCONS_00006124	TCONS_00006124.p1	SSTP_0000145300	SSTP_0000145300.1
XLOC_004304	TCONS_00006125	TCONS_00006125.p1	SSTP_0000145400	SSTP_0000145400.1
XLOC_004305	TCONS_00006126	TCONS_00006126.p1	SSTP_0000145600	SSTP_0000145600.1
XLOC_004305	TCONS_00010743	TCONS_00010743.p1	SSTP_0000145600	SSTP_0000145600.1
XLOC_004306	TCONS_00006127	TCONS_00006127.p1	SSTP_0000145700	SSTP_0000145700.1
XLOC_004306	TCONS_00010744	TCONS_00010744.p1	SSTP_0000145700	SSTP_0000145700.1
XLOC_004307	TCONS_00006128	TCONS_00006128.p1	SSTP_0000146000	SSTP_0000146000.1
XLOC_004308	TCONS_00006129	TCONS_00006129.p1	SSTP_0000146100	SSTP_0000146100.1
XLOC_004309	TCONS_00006130	TCONS_00006130.p1	SSTP_0000146300	SSTP_0000146300.1
XLOC_004310	TCONS_00006131	TCONS_00006131.p1	SSTP_0000146500	SSTP_0000146500.1
XLOC_004310	TCONS_00006132	TCONS_00006132.p1	SSTP_0000146600	SSTP_0000146600.1
XLOC_004310	TCONS_00010745	TCONS_00010745.p1	SSTP_0000146600	SSTP_0000146600.1
XLOC_004311	TCONS_00006133	TCONS_00006133.p1	SSTP_0000146800	SSTP_0000146800.1
XLOC_004312	TCONS_00006134	TCONS_00006134.p1	SSTP_0000146900	SSTP_0000146900.1
XLOC_004312	TCONS_00010746	TCONS_00010746.p1	SSTP_0000146900	SSTP_0000146900.1
XLOC_004313	TCONS_00006135	TCONS_00006135.p1	SSTP_0000147200	SSTP_0000147200.1
XLOC_004314	TCONS_00006136	TCONS_00006136.p1	SSTP_0000147600	SSTP_0000147600.1
XLOC_004315	TCONS_00006137	TCONS_00006137.p1	SSTP_0000147800	SSTP_0000147800.1
XLOC_004316	TCONS_00006138	TCONS_00006138.p1	SSTP_0000148000	SSTP_0000148000.1
XLOC_004317	TCONS_00006139	TCONS_00006139.p1	SSTP_0000148200	SSTP_0000148200.1
XLOC_004318	TCONS_00006140	TCONS_00006140.p1	SSTP_0000148400	SSTP_0000148400.1
XLOC_004319	TCONS_00006141	TCONS_00006141.p1	SSTP_0000148600	SSTP_0000148600.1
XLOC_004321	TCONS_00006143	TCONS_00006143.p1	SSTP_0000149000	SSTP_0000149000.1
XLOC_004321	TCONS_00010747	TCONS_00010747.p1	SSTP_0000149000	SSTP_0000149000.1
XLOC_004322	TCONS_00006144	TCONS_00006144.p1	SSTP_0000149400	SSTP_0000149400.1
XLOC_004323	TCONS_00006145	TCONS_00006145.p1	SSTP_0000149700	SSTP_0000149700.1
XLOC_004324	TCONS_00006146	TCONS_00006146.p1	SSTP_0000149900	SSTP_0000149900.1
XLOC_004325	TCONS_00006147	TCONS_00006147.p1	SSTP_0000150000	SSTP_0000150000.1
XLOC_004326	TCONS_00006148	TCONS_00006148.p1	SSTP_0000150300	SSTP_0000150300.1
XLOC_004327	TCONS_00006149	TCONS_00006149.p1	SSTP_0000150400	SSTP_0000150400.1
XLOC_004328	TCONS_00006150	TCONS_00006150.p1	SSTP_0000150700	SSTP_0000150700.1
XLOC_004329	TCONS_00006151	TCONS_00006151.p1	SSTP_0000150900	SSTP_0000150900.1
XLOC_004330	TCONS_00006152	TCONS_00006152.p1	SSTP_0000151300	SSTP_0000151300.1
XLOC_004331	TCONS_00006153	TCONS_00006153.p1	SSTP_0000151500	SSTP_0000151500.1
XLOC_004332	TCONS_00006154	TCONS_00006154.p1	SSTP_0000151700	SSTP_0000151700.1
XLOC_004333	TCONS_00006155	TCONS_00006155.p1	SSTP_0000152300	SSTP_0000152300.1
XLOC_004334	TCONS_00006156	TCONS_00006156.p1	SSTP_0000152500	SSTP_0000152500.1
XLOC_004335	TCONS_00006157	TCONS_00006157.p1	SSTP_0000152600	SSTP_0000152600.1
XLOC_004335	TCONS_00010748	TCONS_00010748.p1	SSTP_0000152600	SSTP_0000152600.1
XLOC_004336	TCONS_00006158	TCONS_00006158.p1	SSTP_0000152700	SSTP_0000152700.1
XLOC_004336	TCONS_00010749	TCONS_00010749.p1	SSTP_0000152700	SSTP_0000152700.1
XLOC_004337	TCONS_00006159	TCONS_00006159.p1	SSTP_0000152900	SSTP_0000152900.1
XLOC_004338	TCONS_00006160	TCONS_00006160.p1	SSTP_0000153100	SSTP_0000153100.1
XLOC_004339	TCONS_00006162	TCONS_00006162.p1	SSTP_0000153600	SSTP_0000153600.1
XLOC_004339	TCONS_00010750	TCONS_00010750.p1	SSTP_0000153600	SSTP_0000153600.1
XLOC_004340	TCONS_00006163	TCONS_00006163.p1	SSTP_0000153900	SSTP_0000153900.1
XLOC_004341	TCONS_00006164	TCONS_00006164.p1	SSTP_0000154100	SSTP_0000154100.1
XLOC_004342	TCONS_00006165	TCONS_00006165.p1	SSTP_0000154500	SSTP_0000154500.1
XLOC_004342	TCONS_00006167	TCONS_00006167.p1	SSTP_0000154700	SSTP_0000154700.1
XLOC_004342	TCONS_00010751	TCONS_00010751.p1	SSTP_0000154500	SSTP_0000154500.1
XLOC_004343	TCONS_00006168	TCONS_00006168.p1	SSTP_0000155000	SSTP_0000155000.1
XLOC_004344	TCONS_00006169	TCONS_00006169.p1	SSTP_0000155200	SSTP_0000155200.1
XLOC_004345	TCONS_00006170	TCONS_00006170.p1	SSTP_0000155300	SSTP_0000155300.1
XLOC_004346	TCONS_00006171	TCONS_00006171.p1	SSTP_0000155400	SSTP_0000155400.1
XLOC_004347	TCONS_00006172	TCONS_00006172.p1	SSTP_0000155700	SSTP_0000155700.1
XLOC_004347	TCONS_00010752	TCONS_00010752.p1	SSTP_0000155700	SSTP_0000155700.1
XLOC_004348	TCONS_00006173	TCONS_00006173.p1	SSTP_0000155800	SSTP_0000155800.1
XLOC_004350	TCONS_00006175	TCONS_00006175.p1	SSTP_0000156250	SSTP_0000156250.1
XLOC_004351	TCONS_00006176	TCONS_00006176.p1	SSTP_0000156400	SSTP_0000156400.1
XLOC_004352	TCONS_00006177	TCONS_00006177.p1	SSTP_0000156500	SSTP_0000156500.1
XLOC_004353	TCONS_00006178	TCONS_00006178.p1	SSTP_0000156600	SSTP_0000156600.1
XLOC_004354	TCONS_00006179	TCONS_00006179.p1	SSTP_0000157000	SSTP_0000157000.1
XLOC_004355	TCONS_00006180	TCONS_00006180.p1	SSTP_0000157100	SSTP_0000157100.1
XLOC_004356	TCONS_00006181	TCONS_00006181.p1	SSTP_0000157200	SSTP_0000157200.1
XLOC_004357	TCONS_00006182	TCONS_00006182.p1		
XLOC_004357	TCONS_00006183	TCONS_00006183.p1	SSTP_0000157600	SSTP_0000157600.1
XLOC_004357	TCONS_00010754	TCONS_00010754.p1	SSTP_0000157600	SSTP_0000157600.1
XLOC_004358	TCONS_00006184	TCONS_00006184.p1	SSTP_0000157900	SSTP_0000157900.1
XLOC_004359	TCONS_00006185	TCONS_00006185.p1	SSTP_0000158400	SSTP_0000158400.1
XLOC_004361	TCONS_00006187	TCONS_00006187.p1	SSTP_0000159000	SSTP_0000159000.1
XLOC_004361	TCONS_00006188	TCONS_00006188.p1	SSTP_0000159200	SSTP_0000159200.1
XLOC_004361	TCONS_00006189	TCONS_00006189.p1	SSTP_0000159300	SSTP_0000159300.1
XLOC_004361	TCONS_00010755	TCONS_00010755.p1	SSTP_0000159300	SSTP_0000159300.1
XLOC_004362	TCONS_00006190	TCONS_00006190.p1	SSTP_0000159600	SSTP_0000159600.1
XLOC_004363	TCONS_00006191	TCONS_00006191.p1	SSTP_0000159800	SSTP_0000159800.1
XLOC_004364	TCONS_00006192	TCONS_00006192.p1	SSTP_0000160000	SSTP_0000160000.1
XLOC_004364	TCONS_00010756	TCONS_00010756.p1	SSTP_0000160000	SSTP_0000160000.1
XLOC_004365	TCONS_00006193	TCONS_00006193.p1	SSTP_0000160100	SSTP_0000160100.1
XLOC_004365	TCONS_00006194	TCONS_00006194.p1	SSTP_0000160200	SSTP_0000160200.1
XLOC_004365	TCONS_00010757	TCONS_00010757.p1	SSTP_0000160200	SSTP_0000160200.1
XLOC_004366	TCONS_00006195	TCONS_00006195.p1	SSTP_0000160400	SSTP_0000160400.1
XLOC_004367	TCONS_00006196	TCONS_00006196.p1	SSTP_0000160500	SSTP_0000160500.1
XLOC_004368	TCONS_00006197	TCONS_00006197.p1	SSTP_0000161000	SSTP_0000161000.1
XLOC_004369	TCONS_00006198	TCONS_00006198.p1	SSTP_0000161200	SSTP_0000161200.1
XLOC_004370	TCONS_00006199	TCONS_00006199.p1	SSTP_0000161300	SSTP_0000161300.1
XLOC_004371	TCONS_00006200	TCONS_00006200.p1	SSTP_0000161400	SSTP_0000161400.1
XLOC_004372	TCONS_00006201	TCONS_00006201.p1	SSTP_0000161600	SSTP_0000161600.1
XLOC_004373	TCONS_00006202	TCONS_00006202.p1	SSTP_0000161900	SSTP_0000161900.1
XLOC_004374	TCONS_00006203	TCONS_00006203.p1	SSTP_0000162000	SSTP_0000162000.1
XLOC_004374	TCONS_00006204	TCONS_00006204.p1	SSTP_0000162100	SSTP_0000162100.1
XLOC_004374	TCONS_00010758	TCONS_00010758.p1	SSTP_0000162000	SSTP_0000162000.1
XLOC_004376	TCONS_00006205	TCONS_00006205.p1	SSTP_0000162200	SSTP_0000162200.1
XLOC_004377	TCONS_00006206	TCONS_00006206.p1	SSTP_0000162300	SSTP_0000162300.1
XLOC_004377	TCONS_00010760	TCONS_00010760.p1	SSTP_0000162300	SSTP_0000162300.1
XLOC_004378	TCONS_00006207	TCONS_00006207.p1	SSTP_0000162400	SSTP_0000162400.1
XLOC_004378	TCONS_00006208	TCONS_00006208.p1	SSTP_0000162500	SSTP_0000162500.1
XLOC_004378	TCONS_00010761	TCONS_00010761.p1	SSTP_0000162400	SSTP_0000162400.1
XLOC_004379	TCONS_00006209	TCONS_00006209.p1	SSTP_0000162600	SSTP_0000162600.1
XLOC_004380	TCONS_00006210	TCONS_00006210.p1	SSTP_0000163100	SSTP_0000163100.1
XLOC_004380	TCONS_00010762	TCONS_00010762.p1	SSTP_0000163000	SSTP_0000163000.1
XLOC_004380	TCONS_00010763	TCONS_00010763.p1	SSTP_0000163100	SSTP_0000163100.1
XLOC_004381	TCONS_00006211	TCONS_00006211.p1	SSTP_0000163300	SSTP_0000163300.1
XLOC_004382	TCONS_00006212	TCONS_00006212.p1	SSTP_0000163400	SSTP_0000163400.1
XLOC_004383	TCONS_00006213	TCONS_00006213.p1	SSTP_0000163500	SSTP_0000163500.1
XLOC_004385	TCONS_00006215	TCONS_00006215.p1	SSTP_0000164100	SSTP_0000164100.1
XLOC_004385	TCONS_00006216	TCONS_00006216.p1	SSTP_0000164200	SSTP_0000164200.1
XLOC_004385	TCONS_00010764	TCONS_00010764.p1	SSTP_0000164000	SSTP_0000164000.1
XLOC_004385	TCONS_00010765	TCONS_00010765.p1	SSTP_0000164100	SSTP_0000164100.1
XLOC_004386	TCONS_00006217	TCONS_00006217.p1	SSTP_0000164300	SSTP_0000164300.1
XLOC_004386	TCONS_00010766	TCONS_00010766.p1	SSTP_0000164300	SSTP_0000164300.1
XLOC_004387	TCONS_00006218	TCONS_00006218.p1	SSTP_0000164500	SSTP_0000164500.1
XLOC_004387	TCONS_00006219	TCONS_00006219.p1	SSTP_0000164700	SSTP_0000164700.1
XLOC_004387	TCONS_00006220	TCONS_00006220.p1	SSTP_0000164900	SSTP_0000164900.1
XLOC_004387	TCONS_00010767	TCONS_00010767.p1	SSTP_0000164500	SSTP_0000164500.1
XLOC_004387	TCONS_00010768	TCONS_00010768.p1	SSTP_0000164900	SSTP_0000164900.1
XLOC_004387	TCONS_00010769	TCONS_00010769.p1	SSTP_0000165000	SSTP_0000165000.1
XLOC_004388	TCONS_00006221	TCONS_00006221.p1	SSTP_0000165100	SSTP_0000165100.1
XLOC_004388	TCONS_00010770	TCONS_00010770.p1	SSTP_0000165100	SSTP_0000165100.1
XLOC_004389	TCONS_00006222	TCONS_00006222.p1	SSTP_0000165200	SSTP_0000165200.1
XLOC_004389	TCONS_00010771	TCONS_00010771.p1	SSTP_0000165200	SSTP_0000165200.1
XLOC_004390	TCONS_00010772	TCONS_00010772.p1		
XLOC_004391	TCONS_00006223	TCONS_00006223.p1	SSTP_0000165700	SSTP_0000165700.1
XLOC_004391	TCONS_00006224	TCONS_00006224.p1	SSTP_0000165800	SSTP_0000165800.1
XLOC_004391	TCONS_00010773	TCONS_00010773.p1	SSTP_0000165700	SSTP_0000165700.1
XLOC_004392	TCONS_00006225	TCONS_00006225.p1	SSTP_0000165900	SSTP_0000165900.1
XLOC_004393	TCONS_00006226	TCONS_00006226.p1	SSTP_0000166200	SSTP_0000166200.1
XLOC_004394	TCONS_00010774	TCONS_00010774.p1	SSTP_0000166800	SSTP_0000166800.1
XLOC_004395	TCONS_00006227	TCONS_00006227.p1	SSTP_0000167000	SSTP_0000167000.1
XLOC_004395	TCONS_00010775	TCONS_00010775.p1	SSTP_0000167000	SSTP_0000167000.1
XLOC_004396	TCONS_00006228	TCONS_00006228.p1	SSTP_0000167400	SSTP_0000167400.1
XLOC_004397	TCONS_00006229	TCONS_00006229.p1	SSTP_0000167600	SSTP_0000167600.1
XLOC_004398	TCONS_00006230	TCONS_00006230.p1	SSTP_0000167700	SSTP_0000167700.1
XLOC_004398	TCONS_00010776	TCONS_00010776.p1	SSTP_0000167700	SSTP_0000167700.1
XLOC_004399	TCONS_00006231	TCONS_00006231.p1	SSTP_0000167800	SSTP_0000167800.1
